author_searched,title,description,categories,author_avg_rating,author_rating_count,author_total_reviews,book_avg_rating,num_pages,book_published_year
Dan Brown,The Da Vinci Code (The Young Adult Adaptation),"Dan Brown’s mega-bestseller is now available for a new generation of readers. This young adult adaptation is the perfect way to get ready for Origin, the latest novel featuring the character Robert Langdon. It will remind fans everywhere why the New York Times calls The Da Vinci Code “blockbuster perfection.” Includes over twenty color photos showing important locations, landmarks, and artwork, taking readers from Paris to London and beyond! The greatest conspiracy of the past two thousand years is about to unravel. Robert Langdon, professor of religious symbology at Harvard, is in Paris to give a lecture. At the reception that follows, he is scheduled to meet with a revered curator from the world-famous Louvre museum. But the curator never shows up, and later that night Langdon is awakened by authorities and told that the curator has been found dead. He is then taken to the Louvre—the scene of the crime—where he finds out that baffling clues have been left behind. Thus begins a race against time, as Robert Langdon becomes a suspect and, with the help of French cryptologist Sophie Neveu, must decipher a mystifying trail of clues that the two come to realize have been left specifically for them. If Robert and Sophie cannot solve the puzzle in time, an ancient truth could be lost forever—and they themselves might end up as collateral damage. Praise for the adult edition of The Da Vinci Code “WOW . . . Blockbuster perfection. An exhilaratingly brainy thriller. Not since the advent of Harry Potter has an author so flagrantly delighted in leading readers on a breathless chase and coaxing them through hoops.”—The New York Times “A new master of smart thrills. A pulse-quickening, brain-teasing adventure.”—People",'Young Adult Fiction',3.9,8851474,219115,3.0,330,2009
Dan Brown,The Lost Symbol,"Robert Langdon returns in Dan Brown's brilliant new thriller, THE SECRET OF SECRETS, available for pre-order now. The bestselling continuation of global phenomenon THE DA VINCI CODE, featuring symbologist Robert Langdon. The Capitol Building, Washington DC: Harvard symbologist Robert Langdon believes he is here to give a lecture. He is wrong. Within minutes of his arrival, a shocking object is discovered. It is a gruesome invitation into an ancient world of hidden wisdom. When Langdon's mentor, Peter Solomon - prominent mason and philanthropist - is kidnapped, Langdon realizes that his only hope of saving his friend's life is to accept this mysterious summons. It is to take him on a breathless chase through Washington's dark history. All that was familiar is changed into a shadowy, mythical world in which Masonic secrets and never-before-seen revelations seem to be leading him to a single impossible and inconceivable truth...",'Fiction',3.9,8851474,219115,5.0,690,2010
Dan Brown,The Lost Symbol Illustrated edition,"WHAT WAS LOST WILL BE FOUND... Harvard professor Robert Langdon is summoned to deliver an evening lecture in the Capitol Building, Washington DC. But within minutes of his arrival, a gruesome and disturbing discovery is made at the epicentre of the Rotunda. Langdon recognizes it as an ancient invitation, beckoning its recipient towards a long-lost world of hidden wisdom. And when Langdon's revered mentor is brutally kidnapped, he realizes his only chance to save his old friend is to accept this sinister summons... All that was familiar is transformed into a shadowy, clandestine world in which Masonic secrets and never-before-seen revelations seem to be leading him to a single impossible and inconceivable truth. As Langdon will discover, there is nothing more extraordinary or shocking than the secret which hides in plain sight... A brilliantly composed tapestry of veiled histories, arcane icons and enigmatic codes, The Lost Symbol is an intelligent, lightning-paced thriller that offers surprises at every turn. This exclusive edition features over 250 photographs and illustrations, allowing the reader to explore the rich historical research from which Dan Brown drew his inspiration, and uniquely complementing the reading experience.",'Fiction',3.9,8851474,219115,4.0,974,2010
Dan Brown,Wild Symphony,"#1 New York Times bestselling author Dan Brown makes his picture book debut with this mindful, humorous, musical, and uniquely entertaining book! The author will be donating all US royalties due to him to support music education for children worldwide, through the New Hampshire Charitable foundation. Travel through the trees and across the seas with Maestro Mouse and his musical friends! Young readers will meet a big blue whale and speedy cheetahs, tiny beetles and graceful swans. Each has a special secret to share. Along the way, you might spot the surprises Maestro Mouse has left for you- a hiding buzzy bee, jumbled letters that spell out clues, and even a coded message to solve! Children and adults can enjoy this timeless picture book as a traditional read-along, or can choose to listen to original musical compositions as they read--one for each animal--with a free interactive smartphone app, which uses augmented reality to play the appropriate song for each page when a phone's camera is held over it.",'Juvenile Fiction',3.9,8851474,219115,5.0,288,2008
Dan Brown,Digital Fortress,"A former National Security Agency programmer threatens to release a mathematical formula that will allow organized crime and terrorism to skyrocket, unless the code-breaking computer that is used to keep them in check--but that violates civil rights--is not exposed to the public.",'Fiction',3.9,8851474,219115,3.5,550,2007
Dan Brown,Dan Brown’s Robert Langdon Series,"For the first time, all four Robert Langdon thrillers are now available as one ebook bundle. If you haven't read a Dan Brown yet, now's the time. ANGELS AND DEMONS The countdown to oblivion has started - who will stop the clock? A famous scientist is found dead, a mysterious symbol burned into his skin. Many miles away in Rome, the world’s cardinals gather to elect a new pope. Little do they know that beneath their feet, a vast bomb has started to tick. Professor Robert Langdon must work out the link between these two seemingly unconnected events if he is stop the Vatican being blown sky high. THE DA VINCI CODE The race to uncover the oldest secret has begun . . . An eminent man is brutally murdered in the world’s most famous museum. Around his body are a ring of codes, hastily drawn in blood. He died to protect a long-kept secret which Professor Robert Langdon must now uncover. It will be a race against time to decipher this final message. Can he get there before the killers do? THE LOST SYMBOL To save a life, you must first crack the code . . . A mysterious invitation brings Professor Robert Langdon to Washington DC. But all is not as it seems in this powerful city. An ancient organization plans to reassert itself. And he is the only man standing in its way. If he is to prevent a terrible plan being executed, Langdon must decipher a series of increasingly bloody clues. But first he has to make sure he stays alive . . . INFERNO The world is in danger - who will save it? Robert Langdon wakes up in a Florence hospital with no clue how he got there. But another attack on his life makes it very clear – someone wants him dead. And fast. To survive, Langdon must work out who it is. And then he must answer the next question – why?",'Fiction',3.9,8851474,219115,4.5,508,2003
Dan Brown,In One Sitting,"The author had a sense of humor like no other. She, of course, attracted email jokes from around the world which she kept meticulously. These jokes and anecdotes were collected over many years.",'Fiction',3.9,8851474,219115,1.0,613,2005
Dan Brown,The Lost Symbol: Special Illustrated Edition,"#1 WORLDWIDE BESTSELLER • An intelligent, lightning-paced thriller set within the hidden chambers, tunnels, and temples of Washington, D.C., with surprises at every turn. “Impossible to put down.... Another mind-blowing Robert Langdon story.” —The New York Times Famed Harvard symbologist Robert Langdon answers an unexpected summons to appear at the U.S. Capitol Building. His plans are interrupted when a disturbing object—artfully encoded with five symbols—is discovered in the building. Langdon recognizes in the find an ancient invitation into a lost world of esoteric, potentially dangerous wisdom. When his mentor Peter Solomon—a long-standing Mason and beloved philanthropist—is kidnapped, Langdon realizes that the only way to save Solomon is to accept the mystical invitation and plunge headlong into a clandestine world of Masonic secrets, hidden history, and one inconceivable truth ... all under the watchful eye of Dan Brown's most terrifying villain to date Note: This eBook edition of The Lost Symbol, Special Illustrated Edition, includes photographs that will appear on black-and-white devices but are optimized for devices that support full-color images.",'Fiction',3.9,8851474,219115,4.0,871,2010
Dan Brown,Supergirl Vol. 6: Crucible,"She’s the Last Daughter of Krypton and one of Earth’s greatest heroes, but for Kara Zor-El, being Supergirl means feeling like she’s got no place to call home. So when a deep-space school called the Crucible-an intergalactic academy that trains the universe’s most powerful beings-comes calling, Supergirl is happy to go. There, she’s no “super hero”-she’s just like everyone else. But this strange school hides dark secrets. Just what are Kara and her new friends being trained for? And what does Crucible want with Supergirl’s clone “cousin,” Superboy? Once the truth comes out, Supergirl may not make it to graduation…ar From writers Mike Johnson (SUPERMAN/BATMAN), Tony Bedard (GREEN LANTERN: NEW GUARDIANS) and K. Perkins in her comics debut, along with artists Emanuela Lupacchino (WORLDS’ FINEST) and Ray McCarthy (GREEN ARROW) comes SUPERGIRL: CRUCIBLE. Class is in session! Collects issues #34-40 and SUPERGIRL: FUTURE’S END #1.",'Comics & Graphic Novels',3.9,8851474,219115,4.5,1620,1973
Chinua Achebe,The Trouble with Nigeria,This novel about Nigeria prophesied the 1983 coup.,'Fiction',3.76,452578,27163,3.0,86,1984
