author_searched,title,description,categories,author_avg_rating,author_rating_count,author_total_reviews,num_pages,book_published_year,book_avg_rating,book_ratings,book_reviews
Mick Herron,Dolphin Junction Stories,"Now, for the first time, Mick Herron’s short fiction has been collected into one volume. In Dolphin Junction, devoted fans and future converts alike will find much to amuse, delight, and terrify them. Five standalone nerve-rackingly thrilling crime fiction stories are complemented by four mystery stories featuring the Oxford wife-and-husband detective team of shrewd Zoë Boehm and hapless Joe Silvermann. The collection also includes a peek into the past of Jackson Lamb, irascible top agent at Slough House.",Fiction,4.18,338830,25437,313,2021,4.02,3079,276
Mick Herron,The Drop & List,"Old spooks carry the memory of tradecraft in their bones, and when Solomon Dortmund sees an envelope being passed from one pair of hands to another in a Marylebone cafe, he knows he's witnessed more than an innocent encounter. But in relaying his suspicions to John Bachelor, who babysits retired spies like Solly, he sets in train events which will alter lives. Bachelor himself, a hair's breadth away from sleeping in his car, is clawing his way back to stability; Hannah Weiss, the double agent whose recruitment was his only success, is starting to enjoy the secrets and lies her role demands; and Lech Wicinski, an Intelligence Service analyst, finds that a simple favour for an old acquaintance might derail his career. Meanwhile, Lady Di Taverner is trying to keep the Service on an even keel, and if that means throwing the odd crew member overboard, well: collateral damage is her speciality.",Thriller,4.18,338830,25437,102,2019,4.16,1399,76
Mick Herron,The Last Dead Letter,Bonus short story in the Slough House series included in deluxe tenth anniversary edition of Slow Horses.,Espionage,4.18,338830,25437,28,2019,3.92,89,9
Dan Brown,Angels and Demons,When world-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a mysterious symbol -- seared into the chest of a murdered physicist -- he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati...the most powerful underground organization ever to walk the earth. The Illuminati has now surfaced to carry out the final phase of its legendary vendetta against its most hated enemy -- the Catholic Church.,Thriller,3.9,8860809,219470,736,2000,3.95,3348409,36341
Dan Brown,Deception Point,"When a new NASA satellite spots evidence of an astonishingly rare object buried deep in the Arctic ice, the floundering space agency proclaims a much-needed victory… a victory that has profound implications for U.S. space policy and the impending presidential election.",Mystery,3.9,8860809,219470,556,2001,3.76,692340,11659
Dan Brown,Origin,"Robert Langdon, Harvard professor of symbology and religious iconology, arrives at the ultramodern Guggenheim Museum Bilbao to attend a major announcement--the unveiling of a discovery that ""will change the face of science forever."" The evening's host is Edmond Kirsch, a forty-year-old billionaire and futurist whose dazzling high-tech inventions and audacious predictions have made him a renowned global figure. Kirsch, who was one of Langdon's first students at Harvard two decades earlier, is about to reveal an astonishing breakthrough . . . one that will answer two of the fundamental questions of human existence.",Mystery,3.9,8860809,219470,480,2017,3.9,348768,28561
Chimamanda Ngozi Adichie,Half of a Yellow Sun,"With astonishing empathy and the effortless grace of a natural storyteller, Chimamanda Ngozi Adichie weaves together the lives of three characters swept up in the turbulence of the decade. Thirteen-year-old Ugwu is employed as a houseboy for a university professor full of revolutionary zeal. Olanna is the professor’s beautiful mistress, who has abandoned her life of privilege in Lagos for a dusty university town and the charisma of her new lover. And Richard is a shy young Englishman in thrall to Olanna’s twin sister, an enigmatic figure who refuses to belong to anyone. As Nigerian troops advance and the three must run for their lives, their ideals are severely tested, as are their loyalties to one another.",Fiction,4.31,1299952,119743,435,2006,4.34,177214,14063
Chimamanda Ngozi Adichie,The Thing Around Your Neck ,"In ""A Private Experience,"" a medical student hides from a violent riot with a poor Muslim woman whose dignity and faith force her to confront the realities and fears she's been pushing away. In ""Tomorrow is Too Far,"" a woman unlocks the devastating secret that surrounds her brother's death. The young mother at the center of ""Imitation"" finds her comfortable life in Philadelphia threatened when she learns that her husband has moved his mistress into their Lagos home. And the title story depicts the choking loneliness of a Nigerian girl who moves to an America that turns out to be nothing like the country she expected; though falling in love brings her desires nearly within reach, a death in her homeland forces her to reexamine them.",Short Stories,4.31,1299952,119743,218,2008,4.23,48543,4434
Chimamanda Ngozi Adichie,Dream Count,"Chiamaka is a Nigerian travel writer living in America. Alone in the midst of the pandemic, she recalls her past lovers and grapples with her choices and regrets. Zikora, her best friend, is a lawyer who has been successful at everything until — betrayed and brokenhearted — she must turn to the person she thought she needed least. Omelogor, Chiamaka’s bold, outspoken cousin, is a financial powerhouse in Nigeria who begins to question how well she knows herself. And Kadiatou, Chiamaka’s housekeeper, is proudly raising her daughter in America – but faces an unthinkable hardship that threatens all she has worked to achieve.",Africa,4.31,1299952,119743,474,2025,3.85,25692,3608
Chimamanda Ngozi Adichie,Americanah,"Ifemelu and Obinze are young and in love when they depart military-ruled Nigeria for the West. Beautiful, self-assured Ifemelu heads for America, where despite her academic success, she is forced to grapple with what it means to be black for the first time. Quiet, thoughtful Obinze had hoped to join her, but with post-9/11 America closed to him, he instead plunges into a dangerous, undocumented life in London. Fifteen years later, they reunite in a newly democratic Nigeria, and reignite their passion—for each other and for their homeland.",Fiction,4.31,1299952,119743,477,2013,4.31,402702,32595
