author_searched,title,description,categories,author_avg_rating,author_rating_count,author_total_reviews,num_pages,book_published_year,book_avg_rating,book_ratings,book_reviews
Mick Herron,The Last Dead Letter,Bonus short story in the Slough House series included in deluxe tenth anniversary edition of Slow Horses.,Espionage,4.18,338830,25437,28,2019,3.92,89,9
Dan Brown,Origin,"Robert Langdon, Harvard professor of symbology and religious iconology, arrives at the ultramodern Guggenheim Museum Bilbao to attend a major announcement--the unveiling of a discovery that ""will change the face of science forever."" The evening's host is Edmond Kirsch, a forty-year-old billionaire and futurist whose dazzling high-tech inventions and audacious predictions have made him a renowned global figure. Kirsch, who was one of Langdon's first students at Harvard two decades earlier, is about to reveal an astonishing breakthrough . . . one that will answer two of the fundamental questions of human existence.",Mystery,3.9,8860809,219470,480,2017,3.9,348768,28561
Chimamanda Ngozi Adichie,Americanah,"Ifemelu and Obinze are young and in love when they depart military-ruled Nigeria for the West. Beautiful, self-assured Ifemelu heads for America, where despite her academic success, she is forced to grapple with what it means to be black for the first time. Quiet, thoughtful Obinze had hoped to join her, but with post-9/11 America closed to him, he instead plunges into a dangerous, undocumented life in London. Fifteen years later, they reunite in a newly democratic Nigeria, and reignite their passion—for each other and for their homeland.",Fiction,4.31,1299952,119743,477,2013,4.31,402702,32595
Chimamanda Ngozi Adichie,Notes on Grief,"Expanding on her original New Yorker piece, Adichie shares how this loss shook her to her core. She writes about being one of the millions of people grieving this year; about the familial and cultural dimensions of grief and also about the loneliness and anger that are unavoidable in it. With signature precision of language, and glittering, devastating detail on the page--and never without touches of rich, honest humor--Adichie weaves together her own experience of her father’s death with threads of his life story, from his remarkable survival during the Biafran war, through a long career as a statistics professor, into the days of the pandemic in which he’d stay connected with his children and grandchildren over video chat from the family home in Abba, Nigeria.",Nonfiction,4.31,1299952,119743,86,2021,4.22,37873,5131
Chimamanda Ngozi Adichie,We Should All Be Feminists,"With humor and levity, here Adichie offers readers a unique definition of feminism for the twenty-first century—one rooted in inclusion and awareness. She shines a light not only on blatant discrimination, but also the more insidious, institutional behaviors that marginalize women around the world, in order to help readers of all walks of life better understand the often masked realities of sexual politics. Throughout, she draws extensively on her own experiences—in the U.S., in her native Nigeria, and abroad—offering an artfully nuanced explanation of why the gender divide is harmful for women and men, alike.",Nonfiction,4.31,1299952,119743,52,2012,4.4,321561,31259
Chinua Achebe,Anthills of the Savannah,"Chris, Ikem and Beatrice are like-minded friends working under the military regime of His Excellency, the Sandhurst-educated President of Kangan. In the pressurized atmosphere of oppression and intimidation they are simply trying to live and love - and remain friends. But in a world where each day brings a new betrayal, hope is hard to cling on to. Anthills of the Savannah (1987), Achebe's candid vision of contemporary African politics, is a powerful fusion of angry voices. It continues the journey that Achebe began with his earlier novels, tracing the history of modern Africa through colonialism and beyond, and is a work ultimately filled with hope.",Africa,3.76,453124,27205,240,1987,3.85,4498,315
Chinua Achebe,Chike and the River,"This is a children's book, sweet as a folktalke from the author of Things Fall Apart",Africa,3.76,453124,27205,64,1966,3.83,1255,145
Chinua Achebe,Dead Men's Path,"Dead Men's Path is a short story by the Nigerian writer Chinua Achebe, first published in 1953. The short-story has been noted as an example of cultural conflict.",Africa,3.76,453124,27205,4,1978,3.57,338,46
Michael Connelly,Ressurection Walk,"Defense attorney Mickey Haller is back, taking the long shot cases, where the chances of winning are one in a million. After getting a wrongfully convicted man out of prison, he is inundated with pleas from incarcerated people claiming innocence. He enlists his half brother, retired LAPD Detective Harry Bosch, to weed through the letters, knowing most claims will be false.",Thriller,4.21,3219028,159493,407,2023,4.54,70793,4172
Michael Connelly,The Black Ice,"Narcotics office Cal Moore's orders were to look into the city's latest drug killing. Instead, he ends up in a motel room with a fatal bullet wound to the head and a suicide note stuffed in his back pocket.",Crime,4.21,3219028,159493,439,1993,4.13,92102,3475
